City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,leirvik,59.7798,5.5005,17.02,86,52,3.93,NO,1691962365
1,anadyr,64.75,177.4833,14.28,66,0,7.6,RU,1691962365
2,port mathurin,-19.6833,63.4167,22.68,72,22,10.64,MU,1691962365
3,adamstown,-25.066,-130.1015,18.51,58,31,2.83,PN,1691962365
4,aasiaat,68.7098,-52.8699,3.77,95,98,1.09,GL,1691962366
5,bytca,49.224,18.5588,20.58,85,0,1.03,SK,1691962366
6,bethel,41.3712,-73.414,30.86,59,0,3.6,US,1691962366
7,puerto natales,-51.7236,-72.4875,2.07,97,100,1.66,CL,1691962366
8,auki,-8.7676,160.7034,24.33,92,100,4.46,SB,1691962366
9,margaret river,-33.95,115.0667,13.19,78,9,4.9,AU,1691962147
10,invercargill,-46.4,168.35,4.45,91,56,2.68,NZ,1691962305
11,whitehorse,60.7161,-135.0538,16.68,40,75,7.15,CA,1691962366
12,stanley,54.868,-1.6985,15.03,80,0,3.6,GB,1691962208
13,nishinoomote,30.7333,131.0,27.47,79,3,8.12,JP,1691962366
14,ushuaia,-54.8,-68.3,1.81,64,0,2.06,AR,1691962368
15,opuwo,-18.0607,13.84,16.04,30,4,0.62,NA,1691962368
16,gadzhiyevo,69.2551,33.3362,14.27,83,94,2.41,RU,1691962368
17,vilyuysk,63.7553,121.6247,15.63,79,83,2.13,RU,1691962368
18,susuman,62.7833,148.1667,20.37,40,37,0.96,RU,1691962368
19,broome,42.2506,-75.833,25.92,62,100,4.12,US,1691962368
20,port-aux-francais,-49.35,70.2167,2.45,66,99,8.81,TF,1691962284
21,hawaiian paradise park,19.5933,-154.9731,28.18,73,20,4.63,US,1691962368
22,ribeira grande,38.5167,-28.7,24.32,85,22,5.36,PT,1691962368
23,vadso,70.0744,29.7487,13.49,94,75,5.66,NO,1691962368
24,beau vallon,-20.4189,57.6953,23.13,78,40,4.63,MU,1691962369
25,blackmans bay,-43.0167,147.3167,1.4,92,95,1.25,AU,1691962369
26,wailua homesteads,22.0669,-159.378,29.44,70,20,5.14,US,1691962369
27,yellowknife,62.456,-114.3525,26.34,40,75,7.72,CA,1691962075
28,edinburgh of the seven seas,-37.0676,-12.3116,10.8,67,91,6.03,SH,1691962369
29,thompson,55.7435,-97.8558,25.09,31,40,4.63,CA,1691962369
30,kourou,5.1552,-52.6478,29.03,82,10,2.76,GF,1691962369
31,hermanus,-34.4187,19.2345,10.45,70,100,3.75,ZA,1691962369
32,arraial do cabo,-22.9661,-42.0278,21.98,88,100,4.12,BR,1691962370
33,puerto baquerizo moreno,-0.9,-89.6,27.55,65,75,6.17,EC,1691962370
34,bikenibeu village,1.3673,173.1241,27.98,89,75,2.57,KI,1691962370
35,derbent,42.0678,48.2899,26.74,42,11,3.23,RU,1691962370
36,elliot lake,46.3834,-82.6331,19.57,56,96,2.78,CA,1691962370
37,zhosaly,45.4878,64.0781,19.18,25,0,4.29,KZ,1691962370
38,richards bay,-28.783,32.0377,17.76,80,0,1.65,ZA,1691962370
39,lazaro cardenas,17.9583,-102.2,30.77,74,5,4.13,MX,1691962371
40,olinda,-8.0089,-34.8553,25.85,78,75,5.14,BR,1691962334
41,iskateley,67.6803,53.1512,13.4,89,57,1.59,RU,1691962371
42,puerto ayora,-0.7393,-90.3518,30.98,73,58,5.19,EC,1691962371
43,grytviken,-54.2811,-36.5092,-5.46,82,15,5.01,GS,1691962371
